iter	Passed	Remaining
762	64050	19895
763	64107	19802
764	64164	19710
765	64237	19623
766	64293	19531
767	64351	19439
768	64474	19367
769	64559	19283
770	64624	19194
771	64681	19102
772	64750	19014
773	64803	18922
774	64866	18832
775	64914	18738
776	65065	18674
777	65171	18596
778	65244	18509
779	65293	18416
780	65365	18329
781	65459	18248
782	65526	18159
783	65630	18081
784	65849	18035
785	65942	17953
786	66004	17864
787	66098	17782
788	66166	17694
789	66229	17605
790	66304	17519
791	66373	17431
792	66517	17363
793	66613	17282
794	66693	17197
795	66748	17106
796	66810	17017
797	66876	16928
798	66933	16838
799	66997	16749
800	67054	16658
801	67214	16594
802	67343	16521
803	67398	16430
804	67446	16338
805	67515	16250
806	67565	16158
807	67614	16066
808	67685	15980
809	67854	15916
810	67957	15837
811	68007	15745
812	68070	15657
813	68117	15564
814	68166	15473
815	68215	15381
816	68263	15290
817	68391	15216
818	68564	15152
819	68621	15063
820	68715	14981
821	68783	14894
822	68869	14811
823	68936	14724
824	69153	14668
825	69225	14582
826	69278	14492
827	69341	14404
828	69399	14315
829	69462	14227
830	69528	14139
831	69616	14057
832	69806	13994
833	69889	13910
834	69941	13820
835	70004	13733
836	70071	13645
837	70133	13557
838	70205	13472
839	70320	13394
840	70442	13317
841	70521	13233
842	70590	13146
843	70644	13057
844	70708	12970
845	70771	12882
846	70852	12798
847	71008	12727
848	71175	12659
849	71261	12575
850	71321	12487
851	71383	12399
852	71440	12311
853	71503	12224
854	71584	12140
855	71681	12058
856	71817	11983
857	71886	11897
858	71941	11808
859	71995	11720
860	72064	11634
861	72148	11550
862	72284	11475
863	72449	11404
864	72499	11314
865	72546	11225
866	72621	11140
867	72679	11052
868	72740	10965
869	72800	10878
870	72934	10802
871	73042	10721
872	73101	10634
873	73158	10546
874	73221	10460
875	73299	10375
876	73394	10293
877	73503	10213
878	73640	10137
879	73734	10054
880	73804	9969
881	73869	9882
882	73920	9794
883	73992	9709
884	74060	9623
885	74175	9544
886	74263	9460
887	74344	9376
888	74414	9291
889	74515	9209
890	74639	9130
891	74781	9054
892	74919	8976
893	75004	8893
894	75080	8808
895	75157	8723
896	75246	8640
897	75299	8552
898	75353	8465
899	75410	8378
900	75517	8297
901	75650	8219
902	75736	8135
903	75802	8049
904	75862	7963
905	75937	7878
906	76003	7793
907	76099	7710
908	76273	7635
909	76341	7550
910	76395	7463
911	76473	7378
912	76520	7291
913	76574	7205
914	76832	7137
915	76955	7057
916	77015	6970
917	77097	6886
918	77157	6800
919	77236	6716
920	77355	6635
921	77547	6560
922	77635	6476
923	77686	6389
924	77737	6303
925	77801	6217
926	77882	6133
927	77931	6046
928	77985	5960
929	78097	5878
930	78262	5800
931	78323	5714
932	78381	5628
933	78429	5542
934	78484	5456
935	78532	5369
936	78593	5284
937	78676	5200
938	78818	5120
939	78900	5036
940	78952	4950
941	79000	4864
942	79060	4778
943	79110	4692
944	79161	4607
945	79330	4528
946	79514	4450
947	79593	4365
948	79665	4281
949	79757	4197
950	79815	4112
951	79880	4027
952	80036	3947
953	80266	3870
954	80345	3785
955	80399	3700
956	80448	3614
957	80526	3530
958	80586	3445
959	80655	3360
960	80767	3277
961	81042	3201
962	81102	3116
963	81162	3030
964	81217	2945
965	81271	2860
966	81326	2775
967	81392	2690
968	81454	2605
969	81614	2524
970	81733	2441
971	81793	2356
